instance,family,n,K,alpha,gap,distance,tier
EB_n110_010_a25_028,EB,110,2,0.25,1.184119,Euclidean,1-2%
EB_n110_010_a50_029,EB,110,2,0.5,0.013738,Euclidean,<0.5%
EB_n110_010_a75_030,EB,110,2,0.75,0.0,Euclidean,exact
EB_n120_011_a25_031,EB,120,2,0.25,0.329287,Euclidean,<0.5%
EB_n120_011_a50_032,EB,120,2,0.5,0.273577,Euclidean,<0.5%
EB_n120_011_a75_033,EB,120,2,0.75,0.04665,Euclidean,<0.5%
EB_n120_012_a25_034,EB,120,2,0.25,1.449046,Euclidean,1-2%
EB_n120_012_a50_035,EB,120,2,0.5,1.278409,Euclidean,1-2%
EB_n120_012_a75_036,EB,120,2,0.75,0.0,Euclidean,exact
EB_n120_013_a25_037,EB,120,2,0.25,1.686112,Euclidean,1-2%
EB_n120_013_a50_038,EB,120,2,0.5,0.093994,Euclidean,<0.5%
EB_n120_013_a75_039,EB,120,2,0.75,0.002411,Euclidean,exact
EB_n120_014_a25_040,EB,120,2,0.25,0.864279,Euclidean,0.5-1%
EB_n120_014_a50_041,EB,120,2,0.5,1.111087,Euclidean,1-2%
EB_n120_014_a75_042,EB,120,2,0.75,0.003973,Euclidean,exact
EB_n120_015_a25_043,EB,120,2,0.25,1.920559,Euclidean,1-2%
EB_n120_015_a50_044,EB,120,2,0.5,1.026431,Euclidean,1-2%
EB_n120_015_a75_045,EB,120,2,0.75,0.0,Euclidean,exact
EB_n130_016_a25_046,EB,130,2,0.25,0.427312,Euclidean,<0.5%
EB_n130_016_a50_047,EB,130,2,0.5,0.326161,Euclidean,<0.5%
EB_n130_016_a75_048,EB,130,2,0.75,0.241963,Euclidean,<0.5%
EB_n130_017_a25_049,EB,130,2,0.25,1.134222,Euclidean,1-2%
EB_n130_017_a50_050,EB,130,2,0.5,1.37671,Euclidean,1-2%
EB_n130_017_a75_051,EB,130,2,0.75,0.0,Euclidean,exact
EB_n130_018_a25_052,EB,130,2,0.25,0.422052,Euclidean,<0.5%
EB_n130_018_a50_053,EB,130,2,0.5,0.085034,Euclidean,<0.5%
EB_n130_018_a75_054,EB,130,2,0.75,0.152705,Euclidean,<0.5%
EB_n130_019_a25_055,EB,130,2,0.25,0.689899,Euclidean,0.5-1%
